GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,,,,,,,,,,,,,
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,,,,,,,,,,,,,
0400000US27,27,Minnesota,5303925,5303924,5311147,5348562,5380285,5418521,5453109,5482435,5519952,,Minnesota,5380285,,1.001361822,1.007044618,1.005931127,1.007106687,1.006383292,1.00537785,1.006843127,,1.039314483
0400000US28,28,Mississippi,2967297,2968103,2970322,2978162,2984945,2990482,2992400,2989390,2988726,,Mississippi,2984945,,1.000747616,1.002639444,1.002277579,1.001854976,1.000641368,0.998994118,0.999777881,,1.006195961
0400000US29,29,Missouri,5988927,5988928,5996118,6010717,6025415,6042711,6060930,6076204,6093000,,Missouri,6025415,,1.001200549,1.002434742,1.002445299,1.002870508,1.003015037,1.002520075,1.002764226,,1.016157454
0400000US30,30,Montana,989415,989414,990641,997821,1005196,1014314,1022867,1032073,1042520,,Montana,1005196,,1.001240128,1.007247832,1.007391105,1.009070868,1.0084323,1.009000193,1.010122346,,1.052369123
0400000US31,31,Nebraska,1826341,1826334,1830051,1842283,1855725,1868559,1881145,1893765,1907116,,Nebraska,1855725,,1.002035225,1.006683967,1.007296382,1.006915895,1.006735672,1.00670868,1.007049977,,1.042110848
0400000US32,32,Nevada,2700551,2700691,2703284,2718379,2752565,2786464,2833013,2883758,2940058,,Nevada,2752565,,1.000960125,1.005583949,1.012575877,1.012315422,1.016705402,1.017912025,1.019523136,,1.087587542
0400000US33,33,New Hampshire,1316470,1316461,1316872,1318473,1321182,1322687,1328743,1330111,1334795,,New Hampshire,1321182,,1.000312201,1.00121576,1.00205465,1.001139131,1.004578559,1.001029544,1.003521511,,1.013610283
0400000US34,34,New Jersey,8791894,8791953,8803729,8841243,8873211,8899162,8925001,8935421,8944469,,New Jersey,8873211,,1.001339407,1.004261149,1.003615781,1.002924646,1.002903532,1.001167507,1.001012599,,1.015986408
0400000US35,35,New Mexico,2059179,2059198,2064756,2077756,2083784,2085193,2083024,2080328,2081015,,New Mexico,2083784,,1.002699109,1.006296143,1.002901207,1.000676174,0.998959809,0.998705728,1.000330236,,1.007874538
0400000US36,36,New York,19378102,19378110,19402640,19519529,19602769,19673546,19718515,19747183,19745289,,New York,19602769,,1.001265861,1.006024386,1.004264447,1.003610561,1.00228576,1.001453862,0.999904088,,1.017659916
0400000US37,37,North Carolina,9535483,9535688,9558915,9650963,9746175,9841590,9934399,10035186,10146788,,North Carolina,9746175,,1.002435797,1.009629545,1.009865544,1.009789995,1.009430285,1.010145254,1.011121069,,1.061499971
0400000US38,38,North Dakota,672591,672591,674526,685476,702087,724019,739904,756835,757952,,North Dakota,702087,,1.002876934,1.016233622,1.024232796,1.031238294,1.021940032,1.022882698,1.001475883,,1.123680926
0400000US39,39,Ohio,11536504,11536727,11540983,11544824,11550839,11570022,11594408,11605090,11614373,,Ohio,11550839,,1.000368909,1.000332814,1.000521013,1.001660745,1.002107688,1.000921306,1.000799908,,1.006359077
0400000US40,40,Oklahoma,3751351,3751615,3759603,3786274,3817054,3852415,3877499,3907414,3923561,,Oklahoma,3817054,,1.002129216,1.0070941,1.008129364,1.009263951,1.00651124,1.007715025,1.004132401,,1.043610456
0400000US41,41,Oregon,3831074,3831072,3838048,3868031,3899116,3925751,3968371,4024634,4093465,,Oregon,3899116,,1.0018209,1.007812044,1.008036389,1.006831036,1.010856521,1.014177858,1.017102425,,1.066548673
